option_type,expire_date,symbol,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,2022-10-21,AMZN,AMZN221021C00134000,2022-10-21 17:49:30+00:00,134.0,0.01,0.0,0.01,0.0,0.0,2.0,2540.0,0.8125018749999999,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00135000,2022-10-21 18:28:33+00:00,135.0,0.01,0.0,0.01,0.0,0.0,85.0,40239.0,0.87500125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00136000,2022-10-21 18:26:16+00:00,136.0,0.01,0.0,0.01,-0.01,-50.0,155.0,2651.0,0.9062509375,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00137000,2022-10-21 15:17:24+00:00,137.0,0.01,0.0,0.01,0.0,0.0,5.0,1878.0,0.937500625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00138000,2022-10-21 18:58:17+00:00,138.0,0.01,0.0,0.01,0.0,0.0,1.0,1400.0,0.98437515625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00139000,2022-10-20 19:05:05+00:00,139.0,0.01,0.0,0.01,0.0,0.0,4.0,1410.0,1.0312548437500002,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00140000,2022-10-21 19:03:09+00:00,140.0,0.01,0.0,0.01,0.0,0.0,148.0,29361.0,1.09375453125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00141000,2022-10-21 13:56:14+00:00,141.0,0.01,0.0,0.01,0.0,0.0,1.0,1452.0,1.125004375,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00142000,2022-10-18 13:33:31+00:00,142.0,0.01,0.0,0.01,0.0,0.0,5.0,4037.0,1.1875040625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00143000,2022-10-21 17:13:19+00:00,143.0,0.01,0.0,0.01,0.0,0.0,1.0,828.0,1.21875390625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00144000,2022-10-14 13:33:04+00:00,144.0,0.01,0.0,0.01,0.0,0.0,30.0,980.0,1.2500037499999999,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00145000,2022-10-21 18:21:21+00:00,145.0,0.01,0.0,0.01,0.0,0.0,32.0,25169.0,1.3125034374999998,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00146250,2022-10-18 13:30:00+00:00,146.25,0.05,0.0,0.01,0.0,0.0,1.0,6244.0,1.3437532812499997,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00146500,2022-10-18 13:45:19+00:00,146.5,0.01,0.0,0.01,0.0,0.0,6.0,3271.0,1.3750031249999999,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00146750,2022-10-20 17:50:10+00:00,146.75,0.01,0.0,0.01,0.0,0.0,2.0,1307.0,1.3750031249999999,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00147000,2022-10-17 18:54:50+00:00,147.0,0.01,0.0,0.01,0.0,0.0,2.0,3562.0,1.3750031249999999,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00147250,2022-10-21 15:30:16+00:00,147.25,0.01,0.0,0.01,0.0,0.0,2.0,1807.0,1.3750031249999999,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00147500,2022-10-19 19:42:36+00:00,147.5,0.01,0.0,0.01,0.0,0.0,35.0,9001.0,1.3750031249999999,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00147750,2022-10-17 15:25:35+00:00,147.75,0.01,0.0,0.01,0.0,0.0,1.0,1534.0,1.40625296875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00148000,2022-10-21 16:38:45+00:00,148.0,0.01,0.0,0.01,0.0,0.0,6.0,5429.0,1.4375028125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00148250,2022-10-11 19:42:47+00:00,148.25,0.01,0.0,0.01,0.0,0.0,17.0,934.0,1.4375028125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00148500,2022-10-21 17:48:46+00:00,148.5,0.01,0.0,0.01,0.0,0.0,2.0,6748.0,1.4375028125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00148750,2022-10-12 14:32:57+00:00,148.75,0.01,0.0,0.01,0.0,0.0,100.0,1082.0,1.4375028125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00149000,2022-10-20 18:52:31+00:00,149.0,0.01,0.0,0.01,0.0,0.0,38.0,1070.0,1.4375028125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00149250,2022-10-21 15:09:20+00:00,149.25,0.01,0.0,0.01,0.0,0.0,1.0,732.0,1.46875265625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00149500,2022-10-21 14:28:56+00:00,149.5,0.01,0.0,0.01,0.0,0.0,1.0,1119.0,1.5000025,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00149750,2022-10-10 19:28:20+00:00,149.75,0.01,0.0,0.01,0.0,0.0,93.0,2387.0,1.5000025,False,REGULAR,USD
